Final,0,9,0.4166666666666667,0.5833333333333334
semi,0,9,0.35,0.65
quarter,0,9,0.39215686274509803,0.6078431372549019
Fourth,0,9,0.4215686274509804,0.5784313725490197
Third,0,9,0.43147208121827413,0.5685279187817259
Second,0,9,0.4064039408866995,0.5935960591133005
First,0,9,0.41809851088201605,0.581901489117984
Final,9,18,0.5,0.5
semi,9,18,0.7058823529411765,0.29411764705882354
quarter,9,18,0.6428571428571429,0.35714285714285715
Fourth,9,18,0.5862068965517241,0.41379310344827586
Third,9,18,0.5811965811965812,0.4188034188034188
Second,9,18,0.6033755274261603,0.39662447257383965
First,9,18,0.6116504854368932,0.3883495145631068
Final,18,27,1.0,0.0
semi,18,27,0.4,0.6
quarter,18,27,0.6666666666666666,0.3333333333333333
Fourth,18,27,0.7272727272727273,0.2727272727272727
Third,18,27,0.6086956521739131,0.391304347826087
Second,18,27,0.7346938775510204,0.2653061224489796
First,18,27,0.7831325301204819,0.21686746987951808
Final,27,36,0,0
semi,27,36,0.5,0.5
quarter,27,36,0,0
Fourth,27,36,0.75,0.25
Third,27,36,0.5555555555555556,0.4444444444444444
Second,27,36,0.75,0.25
First,27,36,0.6666666666666666,0.3333333333333333
Final,36,45,0,0
semi,36,45,0,0
quarter,36,45,0,0
Fourth,36,45,0,0
Third,36,45,1.0,0.0
Second,36,45,0.5,0.5
First,36,45,0.0,1.0
